LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,ZIP CODE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LATITUDE,LONGITUDE,selected
"CRIMESTOPPERS PLUS, INC.",CRIMESTOPPERS,1758 W GRAND AVE 1,60622,12/29/16,1/1/17,41.89101,-87.67198,polygon
"BUONA CATERING, L.L.C.",Buona Catering LLC,151 E WACKER DR,60601,12/22/16,1/1/17,41.88800,-87.62257,polygon
"BUONA CATERING, L.L.C.",Buona Catering LLC,455 N CITYFRONT PLAZA DR,60611,12/22/16,1/1/17,41.89000,-87.62144,polygon
LHC MANAGEMENT LLC,LAKESHORE SPORT & FITNESS,211 N STETSON AVE 4TH FLR,60601,1/22/15,1/15/17,41.88603,-87.62217,polygon
"COMPASS GROUP USA, INC.",R29 AT THE FRANKLIN,227 W MONROE ST 29,60606,1/2/15,1/15/17,41.88054,-87.63459,polygon
"VHC MIDDLE, LLC",UPSTAIRS VIRGIN HOTELS,203 N WABASH AVE 25,60601,12/22/14,1/15/17,41.88583,-87.62614,polygon
"CEMITAS - NORTH AVENUE, LLC",CEMITAS PUEBLA,3129 W ARMITAGE AVE  3,60647,12/15/15,1/15/17,41.91729,-87.70655,polygon
"VHC MIDDLE, LLC",UPSTAIRS VIRGIN HOTELS,203 N WABASH AVE 25,60601,12/22/14,1/15/17,41.88583,-87.62614,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,12/29/14,1/15/17,41.88583,-87.62614,polygon
"VHC MIDDLE, LLC",UPSTAIRS VIRGIN HOTELS,203 N WABASH AVE 25,60601,12/23/14,1/15/17,41.88583,-87.62614,polygon
"VHC UPPER, LLC",CERISE,203 N WABASH AVE 26,60601,12/22/14,1/15/17,41.88583,-87.62614,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,12/23/14,1/15/17,41.88583,-87.62614,polygon
VALHALLA TRADING COMPANY,WAKAMONO,3313-3319 N BROADWAY  1ST,60657,1/13/15,1/15/17,41.94231,-87.64432,polygon
"CHEZ, LLC",CHEZ,247 E ONTARIO ST 2ND,60611,12/22/14,1/15/17,41.89327,-87.62147,polygon
"VHC UPPER, LLC",CERISE,203 N WABASH AVE 26,60601,12/22/14,1/15/17,41.88583,-87.62614,polygon
PONTIAC PRODUCE COMPANY,BIG STAR TO-GO,1537 N DAMEN AVE 1,60622,12/22/14,1/15/17,41.90935,-87.67729,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,12/30/14,1/15/17,41.88583,-87.62614,polygon
B RESTAURANT LLC,FORMENTO'S NONNA'S,917-923 W RANDOLPH ST,60607,1/12/15,1/15/17,41.88424,-87.65053,polygon
VIRGIN HOTELS CHICAGO LLC,VIRGIN HOTELS CHICAGO LLC,203 N WABASH AVE,60601,12/17/14,1/15/17,41.88583,-87.62614,polygon
"COMPASS GROUP USA, INC.",R29 AT THE FRANKLIN,227 W MONROE ST 29,60606,1/2/15,1/15/17,41.88054,-87.63459,polygon
"CHEZ, LLC",CHEZ,247 E ONTARIO ST 2ND,60611,12/22/14,1/15/17,41.89327,-87.62147,polygon
B RESTAURANT LLC,FORMENTO'S NONNA'S,917-923 W RANDOLPH ST,60607,1/28/15,1/15/17,41.88424,-87.65053,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,1/29/15,1/15/17,41.88583,-87.62614,polygon
CHICAGO HILTON LLC,CHICAGO HILTON & TOWERS,720 S MICHIGAN AVE,60605,12/22/14,1/15/17,41.87280,-87.62434,polygon
KANELA IV LLC,Kanela breakfast club,1408 N MILWAUKEE AVE 1ST,60622,1/5/15,1/15/17,41.90742,-87.67307,polygon
"VHC UPPER, LLC",CERISE,203 N WABASH AVE 26,60601,12/22/14,1/15/17,41.88583,-87.62614,polygon
"Taco Burrito King 12, Inc.",Taco Burrito King,114 W CHICAGO AVE 1,60654,12/22/14,1/15/17,41.89674,-87.63183,polygon
"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,255 E GRAND AVE 1,60611,1/13/15,1/15/17,41.89169,-87.62044,polygon
"SERGIO'S PLACE, INC.",SERGIO'S PLACE,6966 W NORTH AVE,60707,12/24/14,1/15/17,41.90907,-87.79979,polygon
CHRISTOPHER HOUSE,HOUSE OF VANS GRAND OPENING CEREMONY,113 N ELIZABETH ST,60607,2/2/17,2/4/17,41.88332,-87.65866,polygon
"751 N. CLARK, INC.",ROCKS RIVER NORTH,751 N CLARK ST 1ST,60654,2/13/15,2/15/17,41.89641,-87.63109,polygon
CORK CITY PRODUCTIONS LLC,THE GREEN DOOR TAVERN / THE DRIFTER,676-678 N ORLEANS ST LL & 1,60654,2/4/15,2/15/17,41.89464,-87.63727,polygon
MAJ RESTAURANT LLC,7 LIONS BAR AND CELLAR,130 S MICHIGAN AVE 1ST AND BSMT,60603,2/13/15,2/15/17,41.88007,-87.62451,polygon
"TACO LIBRE III, LLC",VELVET TACO,1110 N STATE ST 1 & 2,60610,1/30/15,2/15/17,41.90213,-87.62850,polygon
FURIOUS SPOON LLC,FURIOUS SPOON,1571 N MILWAUKEE AVE 1ST,60622,2/9/15,2/15/17,41.91014,-87.67688,polygon
"TAUS HOSPITALITY WP, LLC",TAUS AUTHENTIC,1836-1846 W DIVISION ST 1,60622,1/23/15,2/15/17,41.90335,-87.67381,polygon
"THE NOODLE SHOP, CO.-COLORADO, INC.",NOODLES & COMPANY,3336 N WESTERN AVE 1ST A,60618,1/16/15,2/15/17,41.94235,-87.68840,polygon
"VHC LOWER, LLC","VHC LOWER, LLC",203 N WABASH AVE LL - 3,60601,1/30/15,2/15/17,41.88583,-87.62614,polygon
"BURGER BAR CHICAGO SOUTH LOOP, LLC",BURGER BAR CHICAGO,1150 S MICHIGAN AVE 1,60605,1/29/15,2/15/17,41.86776,-87.62426,polygon
"BRASS MONKEY BRASSERIE, LLC",BRASS MONKEY BRASSERIE,401 N MORGAN ST 1ST,60642,2/6/15,2/15/17,41.88904,-87.65209,polygon
