"NAME","ADDRESS","ZIP","GEODATE","LAT","LONG"
"RESURRECTION CATHOLIC CHURCH","2840 WEST NELSON STREET",60618,2009-04-01,41.9368428,-87.6997871
"SAINT PETER CANISIUS","5057 WEST NORTH AVENUE",60639,2009-04-03,41.9092228,-87.7529466
"SAINT JOHN BERCHMANS CATHOLIC CHURCH","2517 WEST LOGAN BOULEVARD",60647,2009-04-03,41.927796,-87.6912388
"ASSUMPTION CATHOLIC CHURCH","323 WEST ILLINOIS STREET",60654,2009-04-01,41.8904669,-87.6364101
"SAINT JOHN CANTIUS CHURCH","825 NORTH CARPENTER STREET",60622,2009-04-06,41.8968221,-87.6530588
"SAINT MICHAEL IN OLD TOWN","1633 NORTH CLEVELAND AVENUE",60614,2009-03-31,41.9124219,-87.6408955
"SAINT MARY OF THE ANGELS CHURCH","1850 NORTH HERMITAGE AVENUE",60622,2009-03-31,41.9157494,-87.6721113
"PRECIOUS BLOOD CHURCH","2411 WEST CONGRESS PARKWAY",60612,2009-03-31,41.8746472,-87.6866106
"SAINT PRISCILLA CHURCH","6949 WEST ADDISON STREET",60634,2009-03-31,41.9449167,-87.8008652
"OUR LADY OF GRACE CHURCH","2446 RIDGEWAY AVENUE",60647,2009-04-03,41.9261216,-87.7211071
"SAINT CLEMENT CHURCH","642 WEST DEMING PLACE",60614,2009-04-03,41.9282176,-87.6460989
"SAINT BARTHOLOMEW CATHOLIC CHURCH","4949 WEST PATTERSON AVENUE",60641,2009-04-03,41.946324,-87.7514619
"SAINT NICHOLAS UKRANIAN CATHOLIC CATHEDRAL","2238 WEST RICE STREET",60622,2009-03-31,41.8969643,-87.6839257
"SAINT JOSEPH CHURCH","1107 NORTH ORLEANS STREET",60610,2009-04-06,41.9022297,-87.6369941
"OUR LADY HELP OF CHRISTIANS","832 NORTH LECLAIRE AVENUE",60651,2009-04-03,41.8963841,-87.7535663
"IMMACULATE HEART OF MARY","3834 NORTH SPAULDING AVENUE",60618,2009-04-03,41.9517025,-87.7108109
"POLAND PASTORAL MISSION IN CHICAGO","1118 NORTH NOBLE STREET",60622,2009-04-03,41.9023337,-87.6629903
"SAINT FRANCIS OF ASSISI / OUR LADY OF ANGELS","932 NORTH KOSTNER AVENUE",60651,2009-04-07,41.8986101,-87.7364805
"SAINT VIATOR CHURCH","4170 WEST ADDISON STREET",60641,2009-04-08,41.946672,-87.7316267
